wgi_glacier_id, glacier_name, lat, lon, total_area, area_in_state, area_exp, mean_width, mean_length, mean_depth, max_length, max_length_abl, max_length_exp, num_basins, topo_scale, mean_elev, max_elev, min_elev, min_elev_exp, mean_elev_acc, snow_line_elev, mean_elev_abl, orientation_acc, orientation_abl, primary_class 
CA2N001GK056, ,56.725,-130.301,0.03,0.03,0.03,0.2, ,10,0.2, , , , , ,1700,1675,1675,1690, , , SW, SW,7
CA2O016CE074, ,59.901,-136.303, , , ,0.3, , ,0.3,2.2,0.1, , , ,2070,1190,1485,1860,1710,1615, N, N,6
CA2O016CD096, ,60.03,-135.998, , , ,0.2, , , ,0.2,0.2, , , ,1830,1705, , , ,1785, , N,9
CA2N001EA241, ,57.565,-132.399,0.73,0.73,0.73,0.9, ,25,0.9,0.2,0.1, , , ,1168,1280, , , , , NW, NW,6
CA2O014AR087, ,61.151,-139.857,0.88,0.88,0.88,0.9, , ,0.9,0.4,0.4, , , ,3130,2160,2160,2710,2290,2230, NW, W,5
CA2N001EF007, ,57.415,-131.008,0.08,0.08,0.08,0.5, ,10,0.5, , , , , ,1951,1768,1768,1859, , , NE, NE,7
CA2N001FA028, ,56.731,-131.893,0.1,0.1,0.1,0.2, ,10,0.2,0.2, , , , ,1220,1100,1100,1160, , , E, E,7
CA2N001GD039, ,56.887,-130.755,0.09,0.09,0.09,0.5, ,10,0.5, , , , , ,1845,1545,1545,1700, , , S, S,7
CA2N003BO016, ,59.865,-137.498, , , ,0.2, , ,0.2,0.4,0.3, , , ,2180,1660,1660,1980,1760,1710, W, W,5
CA2N001GK177, ,56.725,-130.552,0.12,0.12,0.12,0.9, ,10,0.9, , , , , ,1890,1480,1480,1710, , , W, W,7
CA2N001FG145, ,57.605,-131.845,0.32,0.32,0.32,0.2, ,10,0.2, ,0.1, , , ,1798,1280,1280,1463, , , SE, SE,6
CA2N001EA369, ,57.938,-132.467,0.27,0.27,0.27, , ,10, ,0.2,0.2, , , ,1432,914,914,1173, , , SE, SE,7
CA2O016CF030, ,60.044,-136.47, , , , , , ,0.8,2.1, , , , ,2040,1660,1670, , ,1735, , N,6
CA2N001FH113, ,57.435,-131.662,0.03,0.03,0.03,0.3, ,10,0.3, , , , , ,1160,1050,1050,1130, , , W, W,7
CA2N003BD040, ,59.916,-137.951,0.38,0.38,0.38,0.5, , ,0.5,0.4,0.3, , , ,1620,1430,1430,1590,1570,1550, SE, SE,6
